tweet_Id,tweet_text
1116830287885996032,https://t.co/eGkK2DWEq7 https://t.co/ZhtioZJ2Ii
1116829997279346693,"It really is sad that adults, 99.999 percent of them men, rush to huddle around a pro golfer's ball, trampling wher… https://t.co/HeUGfwStV0"
1116829983551307776,Ping G410 Plus 9 Tour 65 X https://t.co/m5Z23VygFU #golf https://t.co/yHFVqQ0Ac3
1116829661579792384,I don’t like the flagstick rule.  Part of being a good putter is speed control.  It’s not fair to have a huge yello… https://t.co/1Yr6uSaSbs
1116829615153123340,New Build Costa Blanca with Camerons and https://t.co/zRgb4kFCvk your chance for your future retirement#finance… https://t.co/CtkboWxp7Y
1116828666447765504,Thanks @chambleebrandel and @golfchannel for treating our guest to an awesome studio tour!  #masters… https://t.co/vGJvP5twm7
1116828626325004288,The Masters is unfolding at Augusta National just a few days after the golf world mourned the loss of LPGA Founder… https://t.co/IBFQH0hz51
1116828252889391106,"Nice ball on the front edge of the green @hiroshi_tai @kfennessygolf .
.
.
.
.
#golfer #golfclub #golfrange… https://t.co/eMlE1EExoG"
1116828169984782342,#DYK that all of our guests are entitled to enjoy special rates to play rounds of #Golf at the #RivieraMaya Golf Cl… https://t.co/fwiEX6b6M5
1116828167040225281,What’s up with Adam Scott’s pants today?? Looking like MC Hammer our there! #Masters #PGATour https://t.co/yEzbFFsZjC
1116828085687595010,"Are you watching the @themasters ? 👀

Our Turn Key Sumulation Package doubles as a in home entertainment system.… https://t.co/FMGPRTKO7M"
1116827853826535427,Talk about a freak accident. I hope @TigerWoods can walk that off 😳 #TheMasters #masters #pga #tigerwoods #golf @PGATOUR
1116827752672501760,"@BKoepka love your game, shirts etc. not so much the hats!  #masters #PGATour"
1116827731054845953,"No, that wasnt me. I would have accompanied the shank with a 4 inch deep divot.
https://t.co/QVRRBWuIpy"
1116827687673376768,Shooter McGavin hiring security to take out Tiger! #Masters #PGA #pgatour #Golf https://t.co/v3PO4stIMe
1116827617905324032,Need a security guard for the security guard  🤦‍♂️ #tigerwoods #masters #Security #golf https://t.co/8AN8T1Z7Xi
1116827601702490113,That security guard almost just Nancy Kerrigan’d Tiger Woods! 👀 #TheMasters #Tiger #Masters #Golf
1116827419422404617,I’m beyond physically attracted to this leaderboard #Golf
1116827225372930055,Can you believe a security guard slid in tiger woods right now.. #PGATour
1116826223391531008,Who else has got that #mastersfever? #masters #golf #thewesterlies #themasterlies https://t.co/W4DdaI374W
1116826188842971138,"@PhilSartell Agreed! Ashamed of him for his inability to control himself, especially at  The Masters tournament tha… https://t.co/7ykPlFpBNs"
1116825953827684354,Jon Rahm has a shank so bad that it makes us all feel a little better about ourselves https://t.co/2at9vDNStb
1116825588046671872,JM Lexus will be showing the Masters Tournament all weekend long on our big screens! Don’t miss a minute of the act… https://t.co/qoHPtd9dUj
1116825437030817793,"#StarWars #trailer #RiseOfSkywalker #GameofThrones #Winterishere #GOT 
#WinterIsComing #Masters #Golf #TheMasters… https://t.co/LWYBzhIrTc"
1116825302443937792,Our very own Masters Tournament Par 3 event! ⛳ #tpcc #golf #par3 — at Terrace Park Country Club https://t.co/7uuIHNRd2P
1116825298677448706,I miss golf. Torture when I pass a course. Gotta make myself get back into it. It’s like a part of me is missing.… https://t.co/Cs37RvB9bf
1116825013259243522,⛳️ Pro Golfer Jason Day chooses #Chiropractic after he re-injures back before First Round of @TheMasters 2019; is n… https://t.co/WLuAOWkKry
1116824757544968192,"Why you shouldn’t watch my #golf tips videos. 😆
https://t.co/OaHfdfdGKT"
1116824087224045570,Will @McIlroyRory and @RickieFowler make it official after #TheMasters ? They’ve been playing cart #golf all day
1116823703944404998,“A Love Supreme” Utility/Shoe Bag is one of our #luxurious leather pieces. #Luxury #Golf #Leather SHOP&gt;&gt;… https://t.co/CXzwji8elk
1116823500805816320,Does Dad love to golf? Check out https://t.co/eS94guXE2Y to see our line of gifts made specifically for Dad! The pe… https://t.co/iRFdlRUMJz
1116823434821029888,"- Oye Dann.  
Qué tal eres para el golf ? 🏌🏽‍♂️ 

- Soy un chingon !!! 🤣🤣🤣  

#valgomadres 
#golf 
#atinalepapá… https://t.co/C7gOAZQjWw"
1116823414180859904,"https://t.co/tU8iElWa5z
#golf #folfseason #pga #golfstagram #golfaddict #folfday #golfdigest #golfchannel #golfball… https://t.co/1WvICW7bJ9"
1116823409869115392,"Even with a game as established as #golf, players can benefit from harnessing #digital technology, and so can your… https://t.co/vvME0JdJQm"
1116823358467911687,While there's no indication that this year's Masters tournament won't finish on time... with severe weather moving… https://t.co/5wD7sXoMEZ
1116823039696678917,My first #Golf crush. 😍 https://t.co/7M5KU6vfiG
1116822801971736576,"Golf season is upon us. Stretch pre and post your round. It will help with your ability to swing the club, which wi… https://t.co/e72ll2sMQo"
1116822691128864768,TaylorMade P790 Forged Irons 4-P &amp; A SmacWrap Recoil F3 Regular Graphite Mint https://t.co/VN6VUsKykK #golf https://t.co/sUbWdXmdUV
1116822427412176896,"El golf no es un deporte, es un estilo de vida ¡Vívelo al máximo!
.
.
#OceansFour #LaRomanaGolfClub #Golf… https://t.co/VUHxE7JoaS"
1116822253268807680,Oh... is it Master’s week?!?! 🌺💚 #masters #agustanational #themasters #sgcputters #milledputters #golfwrx #pgatour… https://t.co/cN0etQoEWL
1116822147413041157,"With an eagle at 15, Adam Scott has taken the solo lead at 8-under par at #theMasters. 

Full leader board:… https://t.co/g63Eo4lC4c"
1116821963316572160,@SeanPaulPGA @Tompdog9 @mbsmithcpa @alisonlee @TheMasters @LPGA No problem bud
1116821841761525760,Do we really play #golf how we eat? https://t.co/U67h121HfH my article in NWO Golf Links
1116821051160313858,The iconic #574 is now a #golf shoe! The limited edition black gum #574SL from @newbalancegolf #streetwear meets… https://t.co/mYO6l1g7DB
1116820990573580288,So it begins⛳ I am hiding in the trees like a crazy Mom taking pics. She is focused &amp; I don't want to distract her… https://t.co/yjWBp3jV2s
1116820828430139394,Kids like to golf too! We have two courses just waiting to be played. #orangebeachfamilyfun #orangebeachfun… https://t.co/offfXhEQER
1116820599119024128,"First time playing indoor golf, no sun, no waiting and no teeing up your ball this is amazing! #Fore #IndoorGolf… https://t.co/bqKZElgtv4"
1116820191197974529,@SkatingTripods 🤣🤣🤣 accidents happen! #Golf #Sports #FridayFeeling
1116819684240707584,@Chicacollie loves #golf as #tigerwoods is her favorite. I wonder if more #bordercollies feel the same way? #goomen… https://t.co/5IiIEE3h7L
1116819561154846721,How the 2019 Masters Tournament cut line is determined | Golf Channel https://t.co/wwpYI2w5wo
1116818572490285056,"Wrapping up a day on the golf course during this pastel, blue hour moment is a perfect ending, in my opinion. And t… https://t.co/imKVU6Ws5R"
1116818548121374720,#theMasters 50 years ago. The main story was about Billy Casper losing rather then George Archer winning it.… https://t.co/tb0PielGqE
1116818053579313158,"Love this Cerner vs Epic parody EHR phenom....almost as good as The Masters Tournament today! Almost....

Hank@Vand… https://t.co/cBJkiOV8Cc"
1116816986120577030,"A tiger all alone, on his hunt for 15. #themasters #augustanational #masters #amateurgolf #golfdrills #tigerwoods… https://t.co/uK9Vzmdjpp"
1116816689851764742,"@mdswan1 Unfortunately, we don't have any final say on the LPGA and Augusta National. You'll have to talk to @TheMasters about that one!"
1116815835228667906,A state of the art #golf simulator to interesting menu choices and signature cocktails for the western suburbs - Ou… https://t.co/lOIE8Se4K8
1116815774230802432,"Masters Tournament
2019 Masters Tournament Top 5 leaderboard: Francesco Molinari,Jason Day,Brooks Koepka,Justin Har… https://t.co/dtn6qrGRFv"
1116815671256670208,@austin_kamel @b_dechambeau Yesterday's performance was perfect. Let they say on #WallStreet - past performance is… https://t.co/POnkxZ3xpH
1116815136449122304,Scotty Cameron Studio Select Squareback 2 Putter 34” https://t.co/GGlv3F8PIn #golf https://t.co/gTTLJt7K8F
1116814933277257732,Another great time out for Women’s Golf. 3rd straight round with a team score in the 400s! And congratulations to… https://t.co/YokNPLqES5
1116814863458807809,I hope @AUG_Masters can now get up to date and invite the @LPGA to have a tournament. So the Lady's can show they a… https://t.co/Bn3BNzuvlE
1116814854344597506,"When the clock hits 5 p.m. on the Friday workday of #Masters weekend... ✌🏼

🐅 #Tiger #TigerWoods #TheMasters… https://t.co/dTVITNxwCa"
1116814835021434885,2 more days until Game of Thrones guys just gotta get through this stupid Masters tournament and hockey playoffs. https://t.co/OWQNjFbGFp
1116814371554877440,Bad weather day turned into a nice one! #GoSports #golf⛳️ #1stShot #stillbogeyedit https://t.co/6knAMDqrXs
1116814299408867328,Never count out Molanari. He is a player. #TheMasters #Pgatour
1116813946705580034,@LPGA @anwagolf @BMWchamps @WGAESF @WWGAGOLF @TheGlenClub
1116813096289492994,Masters Tournament First Round Telecast on ESPN Draws Nearly 2.5 Million Viewers https://t.co/ZhHnMMw4T9 https://t.co/RayUCP8Fd6
1116813036348743680,Can’t wait to watch this little man on Sunday’s 🏌️⛳️#flyingbgolfcourse #golf #lachlan #future #pro #golfer #pga… https://t.co/cXQLhwIsjz
1116812830710177792,"2019 Masters Tournament Top 5 leaderboard: Francesco Molinari,Jason Day,Brooks Koepka,Justin Harding,Adam Scott
⛳️… https://t.co/pL66NTXr5E"
1116812722509963264,"Avantage ou non pour Tiger ?
#Golf #Masters"
1116812069070934018,Lighting delay! #TheMasters #TigerWoods first birdie on 11 today! #golf https://t.co/jmBdldVwzr
1116812068705976320,"twirl game needs work

#golf
#nikegolf
#golfswing
#linksoldier
#tigerwoods
#themasters
#nocollarcrew… https://t.co/RlPIEOKPSc"
