word1,word2,count
game,season,931
season,game,893
last,year,806
year,last,733
last,season,728
season,last,631
first,game,608
year,season,592
game,first,563
season,year,539
first,season,500
last,game,480
game,year,452
year,game,446
game,last,445
first,year,443
season,first,439
team,game,433
game,team,420
two,game,404
one,year,403
year,first,401
year,one,386
team,season,382
game,two,374
season,team,361
first,time,354
time,game,351
time,year,350
two,year,347
time,first,345
two,season,343
one,game,342
game,time,330
year,time,324
game,one,323
year,two,320
year,team,315
one,season,311
team,year,311
season,two,304
year,player,303
player,year,296
time,season,290
season,one,275
season,time,262
first,two,254
two,first,253
two,one,243
one,two,238
first,team,237
first,last,232
last,first,232
player,season,226
one,team,224
player,game,224
last,time,222
team,first,222
two,last,222
last,two,220
time,last,218
player,team,217
team,player,214
season,player,211
one,first,203
team,one,203
first,one,201
game,player,201
last,team,199
player,time,198
last,one,194
one,last,191
team,last,191
time,player,186
one,player,185
last,player,181
two,time,181
player,last,175
two,team,175
player,one,174
time,two,174
one,time,167
team,two,167
first,player,164
time,one,161
player,first,155
two,player,135
player,two,132
team,time,132
time,team,129
