word1,word2,count
ncaa,basketball,3082
basketball,ncaa,2649
nfl,draft,2387
draft,nfl,2119
nba,basketball,1736
basketball,nba,1661
basketball,game,1096
game,basketball,1052
ncaa,game,971
nfl,player,950
player,nfl,932
game,ncaa,926
baseball,game,894
game,baseball,799
basketball,player,536
player,basketball,518
nba,draft,464
nba,nfl,418
nfl,nba,413
nfl,game,412
draft,nba,385
nba,game,379
game,nfl,372
game,nba,371
nba,player,340
player,nba,338
nfl,mlb,231
mlb,nfl,227
mlb,nba,223
nba,mlb,217
mlb,game,216
baseball,player,200
game,mlb,199
player,baseball,180
ncaa,nba,177
baseball,basketball,172
basketball,baseball,170
nba,ncaa,169
draft,basketball,146
player,draft,143
basketball,draft,135
ncaa,player,132
draft,player,130
player,ncaa,118
game,player,116
mlb,baseball,115
player,game,114
baseball,mlb,112
nfl,ncaa,105
game,golf,96
ncaa,nfl,96
golf,game,95
mlb,player,88
player,mlb,86
nba,baseball,76
baseball,nba,75
nfl,basketball,69
ncaa,draft,68
basketball,nfl,65
draft,ncaa,64
baseball,nfl,58
baseball,golf,53
nfl,baseball,51
ncaa,mlb,50
golf,baseball,49
draft,game,46
game,draft,44
mlb,ncaa,44
baseball,ncaa,32
mlb,basketball,30
basketball,mlb,28
mlb,draft,27
ncaa,baseball,27
draft,mlb,24
basketball,golf,20
player,golf,20
golf,basketball,19
baseball,draft,17
golf,player,17
draft,baseball,16
nfl,golf,16
golf,nfl,14
ncaa,golf,14
golf,ncaa,13
golf,mlb,8
golf,nba,8
mlb,golf,8
nba,golf,6
