word1,word2,count
game,season,179
season,game,176
point,game,107
game,point,95
year,season,88
first,game,87
team,game,87
season,year,86
game,team,84
game,first,83
first,season,75
team,season,70
season,team,69
first,point,68
season,first,68
point,first,67
point,season,67
game,year,65
season,point,65
year,game,64
time,year,59
first,year,57
one,year,56
time,game,55
year,time,55
first,time,54
game,time,53
year,one,52
time,first,51
year,first,47
time,season,46
season,time,45
point,team,44
team,point,44
first,team,43
point,two,43
two,point,43
team,first,41
year,team,40
one,game,39
player,team,39
team,year,38
two,year,38
year,player,38
one,team,37
player,year,37
game,one,36
year,two,36
two,game,35
two,one,35
one,two,34
player,game,34
team,player,34
two,season,34
game,two,33
first,two,32
one,season,32
player,time,32
two,first,32
time,player,31
two,time,31
game,player,30
season,two,30
team,one,30
team,two,30
two,team,30
first,player,29
season,one,29
time,two,29
player,first,23
team,time,23
time,point,22
time,team,22
one,player,21
point,time,21
two,player,20
first,one,19
one,first,19
one,time,19
player,one,19
player,two,19
time,one,18
year,point,18
season,player,17
one,point,16
player,season,16
point,year,16
point,one,14
player,point,7
point,player,7
