word1,word2,count
one,year,110
year,one,109
new,year,106
year,new,104
team,game,95
two,year,95
new,time,92
first,year,91
game,team,91
year,two,90
year,first,89
new,one,86
one,new,84
time,year,82
two,one,81
year,time,81
one,two,80
time,new,79
one,time,75
time,one,73
team,year,69
first,one,68
one,first,68
first,time,66
time,first,65
year,team,65
first,new,64
game,time,64
new,first,64
one,game,62
game,one,60
time,game,60
team,one,55
one,team,54
new,people,52
new,state,50
people,new,50
people,one,50
people,time,50
one,people,49
state,new,48
state,year,48
two,time,48
new,team,47
time,people,47
time,two,47
two,game,47
people,year,46
year,people,46
year,state,46
team,new,44
team,time,44
first,two,43
time,team,43
two,first,43
game,two,42
new,game,40
first,game,39
game,first,39
game,new,39
two,team,39
team,two,38
new,two,37
one,state,37
two,new,37
game,year,36
state,one,36
year,game,35
game,people,34
people,game,33
people,state,28
state,people,27
team,state,26
first,state,25
first,team,25
state,first,25
first,people,24
state,team,24
game,state,23
people,first,23
team,first,23
state,game,21
two,state,19
state,time,18
state,two,18
time,state,17
two,people,14
people,two,13
team,people,12
people,team,11
